prj	local	autoridade	tipo	Ano	cod	Norma	status	viavel	Nota	Tags	Ementa
	br;sp;sao.paulo	municipal	lei	2012	505	Projeto de Lei 505				mariana	
	br;sp;sao.paulo	municipal	lei	2012	15524	LEI Nº 15.524 	Vig	S	2	economia-solidaria; eventos	Altera a Lei nº 14.485, de 19 de julho de 2007, para incluir o Dia Municipal da Economia Solidária, a ser comemorado, anualmente, no dia 15 de dezembro, e dá outras providências.
	br;sp;sao.paulo	municipal	lei	2013	308	Projeto de Lei 308				mariana	
	br;sp;sao.paulo	municipal	lei	2013	505	Projeto de Lei 505				mariana	
	br;sp;sao.paulo	municipal	lei	2013	591	Projeto Lei 591				mariana	
	br;sp;sao.paulo	municipal	lei	2013	673	Projeto de Lei 673				mariana	
	br;sp;sao.paulo	municipal	lei	2013	15838	LEI Nº 15.838 	Vig			 	Autoriza o Poder Executivo a instituir Serviço Social Autônomo denominado Agência São Paulo de Desenvolvimento - ADE SAMPA; institui o Programa para a Valorização de Iniciativas Tecnológicas - VAI TEC, no âmbito da ADE SAMPA; modifica dispositivos da Lei nº 14.517, de 16 de outubro de 2007.
	br;sp;sao.paulo	municipal	lei	2013	15944	Lei 15.944				mariana	
	br;sp;sao.paulo	municipal	lei	2014	198	Projeto de Lei 198				mariana	
	br;sp;sao.paulo	municipal	lei	2014	206	Projeto de Lei 206				mariana	
	br;sp;sao.paulo	municipal	lei	2014	354	Projeto de Lei 354				mariana	
	br;sp;sao.paulo	municipal	lei	2014	546	Projeto de Lei 546				mariana	
	br;sp;sao.paulo	municipal	lei	2014	551	Projeto de Lei 551				mariana	
	br;sp;sao.paulo	municipal	lei	2014	16062	LEI Nº 16.062 	Vig			reciclagem; logística; regras; marco-legal	Dispõe sobre o descarte de embalagens recicláveis em todos os pontos comerciais no Município de São Paulo, e dá outras providências.
	br;sp;sao.paulo	municipal	lei	2014	16073	LEI Nº 16.073 	Vig			marco-legal	Fica revogado o inciso I, do § 2°, do art. 1° da Lei n° 15.944, de 23 de dezembro de 2013, e dá outras providências.
	br;sp;sao.paulo	municipal	lei	2015	12	Projeto de Lei 12				mariana	
	br;sp;sao.paulo	municipal	lei-org			lei organica					
	br;sp;sao.paulo	municipal	res	2007	7	Resolução 7				mariana	
	br;sp;sao.paulo	municipal	res	2009	24	Projeto de Resolução 24				mariana	
	br;sp;sao.paulo	municipal	res	2009	35	Projeto de Resolução 35				mariana	
	br;sp;sao.paulo	municipal	res	2013	4	Resolução n.4				mariana	
